padecimiento,entidad,sexo,motor_productivo,criterio_seleccion,motores_evaluados,smape_prophet,mase_prophet,smape_ensemble,mase_ensemble,smape_stacking,mase_stacking
Obesidad,Campeche,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",44.65131977388829,1.062913204336191,27.11305763560333,1.178208748746299,38.4156087230911,1.5828901537010844
Obesidad,Chiapas,general,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",36.97990024592137,1.1515734054571682,18.03614823634972,0.6445951691392096,16.704950034532857,0.6000958750093325
Obesidad,Chiapas,hombres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",34.138457574955574,1.009676893497153,20.627810062726876,0.6945033725168969,19.23509621879047,0.6466053041339834
Obesidad,Chiapas,mujeres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",37.67526367404505,1.150212582426868,18.928656575385965,0.6696315430334314,16.929321461860795,0.595588080904705
Obesidad,Chihuahua,general,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",19.78019320671317,0.566948841917499,33.77293171468489,1.1051129397777597,16.663255202414188,0.5973017608207686
Obesidad,Chihuahua,hombres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",21.740991495580335,0.5913734075308107,63.04305476510065,1.6483440364253648,18.80659010594331,0.6217396751552597
Obesidad,Chihuahua,mujeres,Stacking,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",19.09304139454769,0.5430804698991876,38.15269883574724,1.2304455645593937,17.102545339129566,0.6094543867371073
Obesidad,Ciudad de México,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",32.64424739582801,0.9855150335534264,27.32779277086167,1.0108257948818111,41.30807250841766,1.407505191912766
Obesidad,Ciudad de México,hombres,Prophet,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",27.602447535092224,0.8421645323254443,33.4009099253785,1.287188157143446,58.47321565594855,1.973491189214029
Obesidad,Ciudad de México,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",32.372635902807424,0.9876178251807676,23.683568362484888,0.8391878285313337,43.64603377368598,1.3893335737536483
Obesidad,Coahuila,general,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",45.67517875098656,1.0213916898116089,30.510425382461587,1.065528095210564,38.60679500870716,1.2833933394918895
Obesidad,Coahuila,hombres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",41.01306738500599,0.9296613740377118,30.41895382249489,1.009364917111578,32.57904665288889,1.0815614888159604
Obesidad,Coahuila,mujeres,Ensemble,insample_cv_PRELIMINAR_NO_GO,"ensemble,prophet,stacking",47.67096118191549,1.0324098991117323,31.662484079926703,1.0770392065772658,40.83893042930163,1.3153461534545412
