padecimiento,sexo,rmse,mae,mape,mase,mape_confiable,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,confianza,promedio_semanal,tiempo_cv_seg,tiempo_train_seg,tiempo_total_seg,poblacion,normalizado,archivo_modelo,usar_regional,Entidad
Alzheimer,incrementos_mujeres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.18,0.0,1.0,1.0,2368467,True,Prophet_Alzheimer_Queretaro_mujeres.pkl,Prophet_Alzheimer_region_Urbana_media_mujeres.pkl,Querétaro
Alzheimer,incrementos_total,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.35,0.0,0.8,0.8,2368467,True,Prophet_Alzheimer_Queretaro_general.pkl,Prophet_Alzheimer_region_Urbana_media_general.pkl,Querétaro
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.18,0.0,1.0,1.0,1857985,True,Prophet_Alzheimer_Quintana_Roo_hombres.pkl,Prophet_Alzheimer_region_Sur-Sureste_vulnerable_hombres.pkl,Quintana Roo
Alzheimer,incrementos_mujeres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.24,0.0,1.0,1.0,1857985,True,Prophet_Alzheimer_Quintana_Roo_mujeres.pkl,Prophet_Alzheimer_region_Sur-Sureste_vulnerable_mujeres.pkl,Quintana Roo
Alzheimer,incrementos_total,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.42,0.0,0.8,0.8,1857985,True,Prophet_Alzheimer_Quintana_Roo_general.pkl,Prophet_Alzheimer_region_Sur-Sureste_vulnerable_general.pkl,Quintana Roo
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.35,0.0,1.0,1.0,2822255,True,Prophet_Alzheimer_San_Luis_Potosi_hombres.pkl,Prophet_Alzheimer_region_Urbana_media_hombres.pkl,San Luis Potosí
Alzheimer,incrementos_mujeres,0.029983769070990634,0.025027174936636563,999.0,0.9953557702776807,False,multiplicative,0.01,0.05,regional,normal,0.59,18.4,0.9,19.3,2822255,True,Prophet_Alzheimer_San_Luis_Potosi_mujeres.pkl,,San Luis Potosí
Alzheimer,incrementos_total,0.03529874348141963,0.027115820184753812,999.0,0.7525118232170129,False,multiplicative,0.01,0.5,regional,normal,0.94,18.9,0.8,19.8,2822255,True,Prophet_Alzheimer_San_Luis_Potosi_general.pkl,,San Luis Potosí
Alzheimer,incrementos_hombres,0.03937501291492497,0.03059015145602544,999.0,0.6582269676601639,False,multiplicative,0.01,0.5,regional,normal,1.51,20.2,0.8,21.0,3026943,True,Prophet_Alzheimer_Sinaloa_hombres.pkl,,Sinaloa
Alzheimer,incrementos_mujeres,0.045612963522320915,0.03766598152275177,999.0,0.7221868153531625,False,multiplicative,0.01,0.05,regional,normal,1.97,19.7,0.8,20.5,3026943,True,Prophet_Alzheimer_Sinaloa_mujeres.pkl,,Sinaloa
Alzheimer,incrementos_total,0.06241110645887487,0.0516055589988759,999.0,0.7017308774919889,False,multiplicative,0.01,0.05,regional,normal,3.48,20.9,0.7,21.7,3026943,True,Prophet_Alzheimer_Sinaloa_general.pkl,,Sinaloa
Alzheimer,incrementos_hombres,0.02540442063634019,0.021639949685292443,999.0,0.6275661375422327,False,multiplicative,0.01,0.5,regional,normal,0.79,18.5,0.9,19.4,2944840,True,Prophet_Alzheimer_Sonora_hombres.pkl,,Sonora
Alzheimer,incrementos_mujeres,0.032838587868951365,0.025695907331342194,999.0,0.6559157035855187,False,multiplicative,0.03,0.05,regional,normal,1.1,19.5,0.8,20.2,2944840,True,Prophet_Alzheimer_Sonora_mujeres.pkl,,Sonora
Alzheimer,incrementos_total,0.041187508822636394,0.03394671606198731,999.0,0.5946725683577023,False,multiplicative,0.03,0.05,regional,normal,1.89,19.5,0.8,20.3,2944840,True,Prophet_Alzheimer_Sonora_general.pkl,,Sonora
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.43,0.0,0.9,0.9,2402598,True,Prophet_Alzheimer_Tabasco_hombres.pkl,Prophet_Alzheimer_region_Sur-Sureste_vulnerable_hombres.pkl,Tabasco
Alzheimer,incrementos_mujeres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.44,0.0,0.9,0.9,2402598,True,Prophet_Alzheimer_Tabasco_mujeres.pkl,Prophet_Alzheimer_region_Sur-Sureste_vulnerable_mujeres.pkl,Tabasco
Alzheimer,incrementos_total,0.04251536275378908,0.03525837540625707,999.0,0.7985884523015209,False,multiplicative,0.01,0.1,regional,normal,0.88,19.2,0.8,20.0,2402598,True,Prophet_Alzheimer_Tabasco_general.pkl,,Tabasco
Alzheimer,incrementos_hombres,0.029729261145738088,0.02297665842544267,999.0,0.730986282073098,False,multiplicative,0.01,0.1,regional,normal,1.1,18.1,0.7,18.9,3527735,True,Prophet_Alzheimer_Tamaulipas_hombres.pkl,,Tamaulipas
Alzheimer,incrementos_mujeres,0.043905524171123485,0.03440031202501363,999.0,0.8342725423581614,False,multiplicative,0.01,0.05,regional,normal,1.62,18.6,0.9,19.5,3527735,True,Prophet_Alzheimer_Tamaulipas_mujeres.pkl,,Tamaulipas
Alzheimer,incrementos_total,0.05548099535108454,0.04300716101377022,999.0,0.7491346618684472,False,multiplicative,0.01,0.05,regional,normal,2.72,19.0,0.6,19.6,3527735,True,Prophet_Alzheimer_Tamaulipas_general.pkl,,Tamaulipas
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.11,0.0,0.8,0.8,1342977,True,Prophet_Alzheimer_Tlaxcala_hombres.pkl,Prophet_Alzheimer_region_Rural_-_dispersa_hombres.pkl,Tlaxcala
Alzheimer,incrementos_mujeres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.16,0.0,0.7,0.7,1342977,True,Prophet_Alzheimer_Tlaxcala_mujeres.pkl,Prophet_Alzheimer_region_Rural_-_dispersa_mujeres.pkl,Tlaxcala
Alzheimer,incrementos_total,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.27,0.0,0.8,0.9,1342977,True,Prophet_Alzheimer_Tlaxcala_general.pkl,Prophet_Alzheimer_region_Rural_-_dispersa_general.pkl,Tlaxcala
Alzheimer,incrementos_hombres,0.014385288037777163,0.011328963389508584,999.0,0.7713640517665572,False,multiplicative,0.01,0.05,regional,normal,1.22,18.1,0.5,18.6,8062579,True,Prophet_Alzheimer_Veracruz_hombres.pkl,,Veracruz
Alzheimer,incrementos_mujeres,0.01799070941171225,0.01518478433645834,999.0,0.7406497441338794,False,multiplicative,0.03,0.05,regional,normal,1.87,18.7,0.6,19.3,8062579,True,Prophet_Alzheimer_Veracruz_mujeres.pkl,,Veracruz
Alzheimer,incrementos_total,0.02469570608223789,0.020017721137711917,999.0,0.7192816907208014,False,multiplicative,0.03,0.1,regional,normal,3.09,19.1,0.7,19.8,8062579,True,Prophet_Alzheimer_Veracruz_general.pkl,,Veracruz
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.31,0.0,0.7,0.7,2320898,True,Prophet_Alzheimer_Yucatan_hombres.pkl,Prophet_Alzheimer_region_Sur-Sureste_vulnerable_hombres.pkl,Yucatán
Alzheimer,incrementos_mujeres,0.03318093218379505,0.027135157395787462,999.0,0.8728140238173036,False,multiplicative,0.03,0.1,regional,normal,0.58,17.0,0.5,17.6,2320898,True,Prophet_Alzheimer_Yucatan_mujeres.pkl,,Yucatán
Alzheimer,incrementos_total,0.04090123769304208,0.03360398303190619,999.0,0.7753715317150711,False,multiplicative,0.01,0.5,regional,normal,0.89,17.2,0.5,17.7,2320898,True,Prophet_Alzheimer_Yucatan_general.pkl,,Yucatán
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.11,0.0,0.9,0.9,1622138,True,Prophet_Alzheimer_Zacatecas_hombres.pkl,Prophet_Alzheimer_region_Urbana_media_hombres.pkl,Zacatecas
Alzheimer,incrementos_mujeres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.17,0.0,0.8,0.8,1622138,True,Prophet_Alzheimer_Zacatecas_mujeres.pkl,Prophet_Alzheimer_region_Urbana_media_mujeres.pkl,Zacatecas
Alzheimer,incrementos_total,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.28,0.0,0.8,0.8,1622138,True,Prophet_Alzheimer_Zacatecas_general.pkl,Prophet_Alzheimer_region_Urbana_media_general.pkl,Zacatecas
Alzheimer,incrementos_hombres,0.0065844179756512095,0.005363346888081851,999.0,0.659645808223455,False,multiplicative,0.01,0.05,regional,normal,3.38,19.1,0.7,19.8,28596662,True,Prophet_Alzheimer_region_Rural_-_dispersa_hombres.pkl,,region_Rural / dispersa
Alzheimer,incrementos_mujeres,0.010329868450219585,0.008536373979714676,800.1844003310551,0.6984501710336666,True,multiplicative,0.01,0.5,regional,normal,5.09,18.8,0.8,19.6,28596662,True,Prophet_Alzheimer_region_Rural_-_dispersa_mujeres.pkl,,region_Rural / dispersa
Alzheimer,incrementos_total,0.013495297483637203,0.01136783275175862,67.65827315972521,0.6856055012906139,True,multiplicative,0.01,0.05,regional,normal,8.47,19.1,0.7,19.8,28596662,True,Prophet_Alzheimer_region_Rural_-_dispersa_general.pkl,,region_Rural / dispersa
Alzheimer,incrementos_hombres,0.0090360275369237,0.007155451310729481,999.0,0.7126038671286227,False,multiplicative,0.01,0.1,regional,normal,2.12,18.3,0.7,19.0,17185820,True,Prophet_Alzheimer_region_Sur-Sureste_vulnerable_hombres.pkl,,region_Sur-Sureste vulnerable
