entidad,modo,regional,OOS::prophet+deepar+ensemble+stacking,sel::prophet+deepar+ensemble+stacking,OOS::deepar+ensemble+stacking,sel::deepar+ensemble+stacking,OOS::prophet+ensemble+stacking,sel::prophet+ensemble+stacking,OOS::prophet+deepar+stacking,sel::prophet+deepar+stacking,OOS::prophet+deepar+ensemble,sel::prophet+deepar+ensemble,OOS::prophet,sel::prophet,OOS::deepar,sel::deepar,OOS::ensemble,sel::ensemble,OOS::stacking,sel::stacking
Tlaxcala,hombres,False,66.92703946380418,deepar,66.92703946380418,deepar,65.73426573426573,prophet,66.92703946380418,deepar,66.92703946380418,deepar,65.73426573426573,prophet,66.92703946380418,deepar,54.91668870345341,ensemble,60.878990290755,stacking
Tlaxcala,mujeres,False,38.96058355544943,deepar,38.96058355544943,deepar,18.994189975565828,ensemble,38.96058355544943,deepar,38.96058355544943,deepar,31.431630745242384,prophet,38.96058355544943,deepar,18.994189975565828,ensemble,46.95005306207247,stacking
Tlaxcala,general,False,31.584155577468074,deepar,31.584155577468074,deepar,37.321428672427366,ensemble,31.584155577468074,deepar,31.584155577468074,deepar,39.02495214421594,prophet,31.584155577468074,deepar,37.321428672427366,ensemble,57.16710672878694,stacking
Veracruz,hombres,False,27.29854279467278,deepar,27.29854279467278,deepar,23.149235754063696,ensemble,27.29854279467278,deepar,27.29854279467278,deepar,27.719867333688132,prophet,27.29854279467278,deepar,23.149235754063696,ensemble,23.27200977809162,stacking
Veracruz,mujeres,False,23.928777223456752,deepar,23.928777223456752,deepar,21.662264926633245,ensemble,23.928777223456752,deepar,23.928777223456752,deepar,29.50416774237194,prophet,23.928777223456752,deepar,21.662264926633245,ensemble,17.574036807370113,stacking
Veracruz,general,False,22.72795953199821,deepar,22.72795953199821,deepar,20.247084525273923,ensemble,22.72795953199821,deepar,22.72795953199821,deepar,24.598349219971126,prophet,22.72795953199821,deepar,20.247084525273923,ensemble,16.98025777145911,stacking
Yucatán,hombres,False,33.199911374385934,deepar,33.199911374385934,deepar,38.24067525611766,stacking,33.199911374385934,deepar,33.199911374385934,deepar,36.1796797048191,prophet,33.199911374385934,deepar,38.48934344243723,ensemble,38.24067525611766,stacking
Yucatán,mujeres,False,33.63110471656856,deepar,33.63110471656856,deepar,35.196648693189935,stacking,33.63110471656856,deepar,33.63110471656856,deepar,29.871419966658387,prophet,33.63110471656856,deepar,47.28183676957766,ensemble,35.196648693189935,stacking
Yucatán,general,False,37.2450373305363,deepar,37.2450373305363,deepar,27.158544438405873,stacking,37.2450373305363,deepar,37.2450373305363,deepar,25.930942770910136,prophet,37.2450373305363,deepar,38.956872670317956,ensemble,27.158544438405873,stacking
Zacatecas,hombres,False,34.31654637498691,deepar,34.31654637498691,deepar,31.84143783918897,ensemble,34.31654637498691,deepar,34.31654637498691,deepar,25.442842071027975,prophet,34.31654637498691,deepar,31.84143783918897,ensemble,19.973645100522187,stacking
Zacatecas,mujeres,False,17.399460669570736,deepar,17.399460669570736,deepar,21.41046311182833,ensemble,17.399460669570736,deepar,17.399460669570736,deepar,24.565070323420507,prophet,17.399460669570736,deepar,21.41046311182833,ensemble,25.13874188352267,stacking
Zacatecas,general,False,12.46013672108096,deepar,12.46013672108096,deepar,21.05734859868492,ensemble,12.46013672108096,deepar,12.46013672108096,deepar,22.556191293172077,prophet,12.46013672108096,deepar,21.05734859868492,ensemble,22.499840545874616,stacking
Region Metropolitana alta,hombres,True,20.649497883414973,deepar,20.649497883414973,deepar,8.754576864785333,prophet,20.649497883414973,deepar,20.649497883414973,deepar,8.754576864785333,prophet,20.649497883414973,deepar,15.949706327123431,ensemble,33.476952076875655,stacking
