ds,entidad,padecimiento,meta_modo,yhat
2026-05-04,Nacional,Parkinson,general,159
2026-05-04,Nacional,Parkinson,hombres,59
2026-05-04,Nacional,Parkinson,mujeres,77
2026-05-11,Nacional,Parkinson,general,162
2026-05-11,Nacional,Parkinson,hombres,62
2026-05-11,Nacional,Parkinson,mujeres,77
2026-05-18,Nacional,Parkinson,general,166
2026-05-18,Nacional,Parkinson,hombres,62
2026-05-18,Nacional,Parkinson,mujeres,77
2026-05-25,Nacional,Parkinson,general,172
2026-05-25,Nacional,Parkinson,hombres,62
2026-05-25,Nacional,Parkinson,mujeres,80
2026-06-01,Nacional,Parkinson,general,168
2026-06-01,Nacional,Parkinson,hombres,65
2026-06-01,Nacional,Parkinson,mujeres,79
2026-06-08,Nacional,Parkinson,general,165
2026-06-08,Nacional,Parkinson,hombres,66
2026-06-08,Nacional,Parkinson,mujeres,77
2026-06-15,Nacional,Parkinson,general,160
2026-06-15,Nacional,Parkinson,hombres,64
2026-06-15,Nacional,Parkinson,mujeres,76
2026-06-22,Nacional,Parkinson,general,163
2026-06-22,Nacional,Parkinson,hombres,63
2026-06-22,Nacional,Parkinson,mujeres,77
2026-06-29,Nacional,Parkinson,general,165
2026-06-29,Nacional,Parkinson,hombres,61
2026-06-29,Nacional,Parkinson,mujeres,75
2026-07-06,Nacional,Parkinson,general,163
2026-07-06,Nacional,Parkinson,hombres,63
2026-07-06,Nacional,Parkinson,mujeres,76
2026-07-13,Nacional,Parkinson,general,160
2026-07-13,Nacional,Parkinson,hombres,62
2026-07-13,Nacional,Parkinson,mujeres,77
2026-07-20,Nacional,Parkinson,general,158
2026-07-20,Nacional,Parkinson,hombres,61
2026-07-20,Nacional,Parkinson,mujeres,77
2026-07-27,Nacional,Parkinson,general,161
2026-07-27,Nacional,Parkinson,hombres,62
2026-07-27,Nacional,Parkinson,mujeres,78
2026-08-03,Nacional,Parkinson,general,171
2026-08-03,Nacional,Parkinson,hombres,66
2026-08-03,Nacional,Parkinson,mujeres,83
2026-08-10,Nacional,Parkinson,general,182
2026-08-10,Nacional,Parkinson,hombres,66
2026-08-10,Nacional,Parkinson,mujeres,84
2026-08-17,Nacional,Parkinson,general,182
2026-08-17,Nacional,Parkinson,hombres,66
2026-08-17,Nacional,Parkinson,mujeres,82
2026-08-24,Nacional,Parkinson,general,172
2026-08-24,Nacional,Parkinson,hombres,64
2026-08-24,Nacional,Parkinson,mujeres,81
2026-08-31,Nacional,Parkinson,general,163
2026-08-31,Nacional,Parkinson,hombres,62
2026-08-31,Nacional,Parkinson,mujeres,78
2026-09-07,Nacional,Parkinson,general,164
2026-09-07,Nacional,Parkinson,hombres,63
2026-09-07,Nacional,Parkinson,mujeres,75
2026-09-14,Nacional,Parkinson,general,171
2026-09-14,Nacional,Parkinson,hombres,65
2026-09-14,Nacional,Parkinson,mujeres,73
2026-09-21,Nacional,Parkinson,general,168
2026-09-21,Nacional,Parkinson,hombres,65
2026-09-21,Nacional,Parkinson,mujeres,71
2026-09-28,Nacional,Parkinson,general,168
2026-09-28,Nacional,Parkinson,hombres,63
2026-09-28,Nacional,Parkinson,mujeres,73
2026-10-05,Nacional,Parkinson,general,162
2026-10-05,Nacional,Parkinson,hombres,64
2026-10-05,Nacional,Parkinson,mujeres,76
2026-10-12,Nacional,Parkinson,general,160
2026-10-12,Nacional,Parkinson,hombres,64
2026-10-12,Nacional,Parkinson,mujeres,75
2026-10-19,Nacional,Parkinson,general,169
2026-10-19,Nacional,Parkinson,hombres,65
2026-10-19,Nacional,Parkinson,mujeres,77
2026-10-26,Nacional,Parkinson,general,170
2026-10-26,Nacional,Parkinson,hombres,61
2026-10-26,Nacional,Parkinson,mujeres,76
2026-11-02,Nacional,Parkinson,general,156
2026-11-02,Nacional,Parkinson,hombres,63
2026-11-02,Nacional,Parkinson,mujeres,74
2026-11-09,Nacional,Parkinson,general,149
2026-11-09,Nacional,Parkinson,hombres,62
2026-11-09,Nacional,Parkinson,mujeres,73
2026-11-16,Nacional,Parkinson,general,147
2026-11-16,Nacional,Parkinson,hombres,59
2026-11-16,Nacional,Parkinson,mujeres,75
2026-11-23,Nacional,Parkinson,general,152
2026-11-23,Nacional,Parkinson,hombres,54
2026-11-23,Nacional,Parkinson,mujeres,74
2026-11-30,Nacional,Parkinson,general,161
2026-11-30,Nacional,Parkinson,hombres,51
2026-11-30,Nacional,Parkinson,mujeres,74
2026-12-07,Nacional,Parkinson,general,152
2026-12-07,Nacional,Parkinson,hombres,53
2026-12-07,Nacional,Parkinson,mujeres,76
2026-12-14,Nacional,Parkinson,general,128
2026-12-14,Nacional,Parkinson,hombres,51
2026-12-14,Nacional,Parkinson,mujeres,67
2026-12-21,Nacional,Parkinson,general,113
2026-12-21,Nacional,Parkinson,hombres,48
2026-12-21,Nacional,Parkinson,mujeres,62
2026-12-28,Nacional,Parkinson,general,111
2026-12-28,Nacional,Parkinson,hombres,46
2026-12-28,Nacional,Parkinson,mujeres,61
2027-01-04,Nacional,Parkinson,general,121
2027-01-04,Nacional,Parkinson,hombres,54
2027-01-04,Nacional,Parkinson,mujeres,66
2027-01-11,Nacional,Parkinson,general,142
2027-01-11,Nacional,Parkinson,hombres,60
2027-01-11,Nacional,Parkinson,mujeres,67
2027-01-18,Nacional,Parkinson,general,151
2027-01-18,Nacional,Parkinson,hombres,62
2027-01-18,Nacional,Parkinson,mujeres,73
2027-01-25,Nacional,Parkinson,general,151
2027-01-25,Nacional,Parkinson,hombres,62
2027-01-25,Nacional,Parkinson,mujeres,75
2026-02-02,Nayarit,Parkinson,general,1
2026-02-02,Nayarit,Parkinson,hombres,1
2026-02-02,Nayarit,Parkinson,mujeres,0
2026-02-09,Nayarit,Parkinson,general,1
2026-02-09,Nayarit,Parkinson,hombres,1
2026-02-09,Nayarit,Parkinson,mujeres,0
2026-02-16,Nayarit,Parkinson,general,1
2026-02-16,Nayarit,Parkinson,hombres,1
2026-02-16,Nayarit,Parkinson,mujeres,0
2026-02-23,Nayarit,Parkinson,general,1
2026-02-23,Nayarit,Parkinson,hombres,1
2026-02-23,Nayarit,Parkinson,mujeres,0
2026-03-02,Nayarit,Parkinson,general,1
2026-03-02,Nayarit,Parkinson,hombres,1
2026-03-02,Nayarit,Parkinson,mujeres,0
2026-03-09,Nayarit,Parkinson,general,1
2026-03-09,Nayarit,Parkinson,hombres,1
2026-03-09,Nayarit,Parkinson,mujeres,0
2026-03-16,Nayarit,Parkinson,general,1
2026-03-16,Nayarit,Parkinson,hombres,1
2026-03-16,Nayarit,Parkinson,mujeres,0
2026-03-23,Nayarit,Parkinson,general,1
2026-03-23,Nayarit,Parkinson,hombres,1
2026-03-23,Nayarit,Parkinson,mujeres,0
2026-03-30,Nayarit,Parkinson,general,1
2026-03-30,Nayarit,Parkinson,hombres,1
2026-03-30,Nayarit,Parkinson,mujeres,0
2026-04-06,Nayarit,Parkinson,general,1
2026-04-06,Nayarit,Parkinson,hombres,1
2026-04-06,Nayarit,Parkinson,mujeres,0
2026-04-13,Nayarit,Parkinson,general,1
2026-04-13,Nayarit,Parkinson,hombres,1
2026-04-13,Nayarit,Parkinson,mujeres,0
2026-04-20,Nayarit,Parkinson,general,1
2026-04-20,Nayarit,Parkinson,hombres,1
2026-04-20,Nayarit,Parkinson,mujeres,0
2026-04-27,Nayarit,Parkinson,general,1
2026-04-27,Nayarit,Parkinson,hombres,1
2026-04-27,Nayarit,Parkinson,mujeres,0
2026-05-04,Nayarit,Parkinson,general,1
2026-05-04,Nayarit,Parkinson,hombres,1
2026-05-04,Nayarit,Parkinson,mujeres,0
2026-05-11,Nayarit,Parkinson,general,1
2026-05-11,Nayarit,Parkinson,hombres,1
2026-05-11,Nayarit,Parkinson,mujeres,0
2026-05-18,Nayarit,Parkinson,general,1
2026-05-18,Nayarit,Parkinson,hombres,1
2026-05-18,Nayarit,Parkinson,mujeres,0
2026-05-25,Nayarit,Parkinson,general,1
2026-05-25,Nayarit,Parkinson,hombres,1
2026-05-25,Nayarit,Parkinson,mujeres,1
2026-06-01,Nayarit,Parkinson,general,1
2026-06-01,Nayarit,Parkinson,hombres,1
2026-06-01,Nayarit,Parkinson,mujeres,1
2026-06-08,Nayarit,Parkinson,general,1
2026-06-08,Nayarit,Parkinson,hombres,1
2026-06-08,Nayarit,Parkinson,mujeres,1
2026-06-15,Nayarit,Parkinson,general,1
2026-06-15,Nayarit,Parkinson,hombres,1
2026-06-15,Nayarit,Parkinson,mujeres,0
2026-06-22,Nayarit,Parkinson,general,1
2026-06-22,Nayarit,Parkinson,hombres,1
2026-06-22,Nayarit,Parkinson,mujeres,0
2026-06-29,Nayarit,Parkinson,general,1
2026-06-29,Nayarit,Parkinson,hombres,1
2026-06-29,Nayarit,Parkinson,mujeres,0
2026-07-06,Nayarit,Parkinson,general,1
2026-07-06,Nayarit,Parkinson,hombres,1
2026-07-06,Nayarit,Parkinson,mujeres,0
2026-07-13,Nayarit,Parkinson,general,1
2026-07-13,Nayarit,Parkinson,hombres,1
2026-07-13,Nayarit,Parkinson,mujeres,0
2026-07-20,Nayarit,Parkinson,general,1
2026-07-20,Nayarit,Parkinson,hombres,1
2026-07-20,Nayarit,Parkinson,mujeres,0
2026-07-27,Nayarit,Parkinson,general,1
2026-07-27,Nayarit,Parkinson,hombres,1
2026-07-27,Nayarit,Parkinson,mujeres,0
2026-08-03,Nayarit,Parkinson,general,1
2026-08-03,Nayarit,Parkinson,hombres,1
2026-08-03,Nayarit,Parkinson,mujeres,1
2026-08-10,Nayarit,Parkinson,general,1
2026-08-10,Nayarit,Parkinson,hombres,1
2026-08-10,Nayarit,Parkinson,mujeres,1
2026-08-17,Nayarit,Parkinson,general,1
2026-08-17,Nayarit,Parkinson,hombres,1
2026-08-17,Nayarit,Parkinson,mujeres,1
2026-08-24,Nayarit,Parkinson,general,1
2026-08-24,Nayarit,Parkinson,hombres,1
2026-08-24,Nayarit,Parkinson,mujeres,1
2026-08-31,Nayarit,Parkinson,general,1
2026-08-31,Nayarit,Parkinson,hombres,1
2026-08-31,Nayarit,Parkinson,mujeres,0
2026-09-07,Nayarit,Parkinson,general,1
2026-09-07,Nayarit,Parkinson,hombres,1
2026-09-07,Nayarit,Parkinson,mujeres,0
2026-09-14,Nayarit,Parkinson,general,1
2026-09-14,Nayarit,Parkinson,hombres,1
2026-09-14,Nayarit,Parkinson,mujeres,0
2026-09-21,Nayarit,Parkinson,general,1
2026-09-21,Nayarit,Parkinson,hombres,1
2026-09-21,Nayarit,Parkinson,mujeres,0
2026-09-28,Nayarit,Parkinson,general,1
2026-09-28,Nayarit,Parkinson,hombres,1
2026-09-28,Nayarit,Parkinson,mujeres,0
2026-10-05,Nayarit,Parkinson,general,1
2026-10-05,Nayarit,Parkinson,hombres,1
2026-10-05,Nayarit,Parkinson,mujeres,0
2026-10-12,Nayarit,Parkinson,general,1
2026-10-12,Nayarit,Parkinson,hombres,1
2026-10-12,Nayarit,Parkinson,mujeres,0
2026-10-19,Nayarit,Parkinson,general,1
2026-10-19,Nayarit,Parkinson,hombres,1
2026-10-19,Nayarit,Parkinson,mujeres,1
2026-10-26,Nayarit,Parkinson,general,1
2026-10-26,Nayarit,Parkinson,hombres,1
2026-10-26,Nayarit,Parkinson,mujeres,1
2026-11-02,Nayarit,Parkinson,general,1
2026-11-02,Nayarit,Parkinson,hombres,1
2026-11-02,Nayarit,Parkinson,mujeres,1
2026-11-09,Nayarit,Parkinson,general,1
2026-11-09,Nayarit,Parkinson,hombres,1
2026-11-09,Nayarit,Parkinson,mujeres,1
2026-11-16,Nayarit,Parkinson,general,1
