disease_id,data_name,cohorte,entidad,sexo,motor_productivo,source
depresion,Depresion,neuro,Nayarit,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Nayarit,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Nayarit,general,DeepAR,tabla_333
depresion,Depresion,neuro,Nuevo León,hombres,Ensemble,tabla_333
depresion,Depresion,neuro,Nuevo León,mujeres,Ensemble,tabla_333
depresion,Depresion,neuro,Nuevo León,general,DeepAR,tabla_333
depresion,Depresion,neuro,Oaxaca,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Oaxaca,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,Oaxaca,general,DeepAR,tabla_333
depresion,Depresion,neuro,Puebla,hombres,Ensemble,tabla_333
depresion,Depresion,neuro,Puebla,mujeres,Prophet,tabla_333
depresion,Depresion,neuro,Puebla,general,Prophet,tabla_333
depresion,Depresion,neuro,Querétaro,hombres,Stacking,tabla_333
depresion,Depresion,neuro,Querétaro,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,Querétaro,general,Stacking,tabla_333
depresion,Depresion,neuro,Quintana Roo,hombres,Prophet,tabla_333
depresion,Depresion,neuro,Quintana Roo,mujeres,Prophet,tabla_333
depresion,Depresion,neuro,Quintana Roo,general,DeepAR,tabla_333
depresion,Depresion,neuro,San Luis Potosí,hombres,Prophet,tabla_333
depresion,Depresion,neuro,San Luis Potosí,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,San Luis Potosí,general,DeepAR,tabla_333
depresion,Depresion,neuro,Sinaloa,hombres,Prophet,tabla_333
depresion,Depresion,neuro,Sinaloa,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Sinaloa,general,Ensemble,tabla_333
depresion,Depresion,neuro,Sonora,hombres,Ensemble,tabla_333
depresion,Depresion,neuro,Sonora,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,Sonora,general,Stacking,tabla_333
depresion,Depresion,neuro,Tabasco,hombres,Prophet,tabla_333
depresion,Depresion,neuro,Tabasco,mujeres,Prophet,tabla_333
depresion,Depresion,neuro,Tabasco,general,Ensemble,tabla_333
depresion,Depresion,neuro,Tamaulipas,hombres,Prophet,tabla_333
depresion,Depresion,neuro,Tamaulipas,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Tamaulipas,general,Ensemble,tabla_333
depresion,Depresion,neuro,Tlaxcala,hombres,Ensemble,tabla_333
depresion,Depresion,neuro,Tlaxcala,mujeres,Prophet,tabla_333
depresion,Depresion,neuro,Tlaxcala,general,Ensemble,tabla_333
depresion,Depresion,neuro,Veracruz,hombres,Prophet,tabla_333
depresion,Depresion,neuro,Veracruz,mujeres,Stacking,tabla_333
depresion,Depresion,neuro,Veracruz,general,Stacking,tabla_333
depresion,Depresion,neuro,Yucatán,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,Yucatán,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Yucatán,general,Stacking,tabla_333
depresion,Depresion,neuro,Zacatecas,hombres,Stacking,tabla_333
depresion,Depresion,neuro,Zacatecas,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,Zacatecas,general,DeepAR,tabla_333
depresion,Depresion,neuro,region_Metropolitana alta,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,region_Metropolitana alta,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,region_Metropolitana alta,general,DeepAR,tabla_333
depresion,Depresion,neuro,region_Rural / dispersa,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,region_Rural / dispersa,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,region_Rural / dispersa,general,DeepAR,tabla_333
depresion,Depresion,neuro,region_Sur-Sureste vulnerable,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,region_Sur-Sureste vulnerable,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,region_Sur-Sureste vulnerable,general,DeepAR,tabla_333
depresion,Depresion,neuro,region_Urbana media,hombres,DeepAR,tabla_333
depresion,Depresion,neuro,region_Urbana media,mujeres,DeepAR,tabla_333
depresion,Depresion,neuro,region_Urbana media,general,DeepAR,tabla_333
parkinson,Parkinson,neuro,Nacional,hombres,Stacking,tabla_333
parkinson,Parkinson,neuro,Nacional,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Nacional,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Aguascalientes,hombres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Aguascalientes,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Aguascalientes,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Baja California,hombres,DeepAR,tabla_333
parkinson,Parkinson,neuro,Baja California,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Baja California,general,Stacking,tabla_333
